,Badula platiphylla,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Dodonaea viscosa ,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia obtusifolia ssp gigas var gigas,Flagellaria indica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Molinaea alternifolia,Ochna mauritiana,Olea lancea,Psathura terniflora,Psidium cattleianum,Smilax anceps,Stillingia lineata ssp lineata,Toddalia asiatica,Tristhema mauritiana,Wikstroemia indica
Cixiidae sp 2,0.0,0.0,0.0,0.0,0.004154589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotesia sp 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008623189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cratopus psittacus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039227053,0.0,0.0,0.0
Diptera sp 3,0.0,0.0,0.0,0.0,0.000830918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eumolpinae sp 2,0.0,0.0,0.00821256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eumolpinae sp 3,0.0,0.0,0.0,0.0,0.0,0.002937198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gelechioidea sp 1,0.0,0.0,0.00410628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graphomya maculata,0.0,0.0,0.0,0.0,0.000830918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homoneura sp 1,0.0,0.0,0.0,0.0,0.001707366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydrotaea fuliginosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004599034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ischiodon aegyptius,0.0,0.0,0.0,0.0,0.0,0.006293996,0.0,0.0,0.0,0.0,0.0,0.0,0.01657971,0.032463768,0.0,0.0,0.181068323,0.0,0.05884058,0.0,0.0,0.0
Lygaeidae sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mordellidae sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11768116,0.0,0.0,0.0
Musca confiscate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023536232,0.0,0.0,0.0
Nitidulidae sp,0.000405797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ophyra capensis,0.0,0.0,0.0,0.0,0.0,0.022028986,0.0,0.0,0.0,0.0,0.0,0.0,0.088109317,0.0,0.0,0.0,0.0,0.0,0.5884058,0.0,0.0,0.0
Pachycerina crinicornis,0.0,0.0,0.045990338,0.0,0.022292919,0.006293996,0.0,0.0,0.0,0.0,0.043242754,0.052888889,0.0,0.026666667,0.0,0.0,0.105623188,0.0,1.73579711,0.009878261,0.0,0.0
Palexorista sp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003135705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelecophora intemipta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014369082,0.0,0.0,0.0,0.0,0.0,0.023536232,0.0,0.0,0.0
Phalanta phalantha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00057971,0.0
Phorinia sp,0.0,0.0,0.0,0.0,0.0,0.002753623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084338165,0.0,0.0,0.0
Polistes hebraeus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055597826,0.0,0.11586756,0.076687371,0.0,0.0,0.058679549,0.0,0.0,0.001956522,0.0,0.0
Psyllidae sp 2 ,0.0,0.0,0.0,0.0,0.0,0.004405797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarcophaga arno,0.0,0.0,0.0,0.000745342,0.0,0.0,0.0,0.0,0.0,0.0,0.059304348,0.0,0.0,0.003478261,0.0,0.0,0.0,0.0,0.05884058,0.0,0.0,0.0
Scatopsidae sp,0.0,0.0,0.0,0.0,0.0,0.00489533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scirtidae sp 1,0.0,0.0,0.007039337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scirtidae sp 2,0.0,0.0,0.004927536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simulium (Byssodon) sp 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023536232,0.0,0.0,0.0
Syritta sp near abyssinica,0.0,0.0,0.0,0.004626258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093164252,0.0,0.0,0.0
Thelairodrino sp,0.0,0.0,0.004927536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villa unifasciata,0.000624303,0.0,0.029565217,0.0,0.0,0.002753623,0.000869565,0.0,0.0,0.0,0.0,0.003135705,0.0,0.0,0.042329381,0.007826085,0.844985507,0.0,0.123565218,0.0,0.00173913,0.0
