,Ahasverus advena,Allograpta sp 1,Anthomyia faciata,Apis mellifera,Bactrocera cucurbitae,Brachymyrmex sp,Campopleginae sp,Cerambycidae sp 1,Chaetocnema sp,Chrysomya megacephala,Conocephalus sp 1,Dasytinae sp,Drosophila sp 2,Drosophila sp 3,Eilema squalida,Episyrphus sp near circularis,Eristalinus flaveolus,Eumolpinae sp 1,Gelechioidea sp 1,Goniurellia or Dectodes sp,Hydrillodes sp,Lecithoceridae sp 1,Limonia (Dycranomia) sp,Lygaeidae sp 1,Macroglossum milvus,Mordellidae sp 1,Mordellidae sp 2,Mythimna sp,Nacoleia sp 1,Nacoleia sp 2,Ornidia obesa,Pachycerina crinicornis,Paleorhiza sp 1,Panara naso,Papillio manlius,Paragus borbonicus,Phelsuma cepediana,Phorinia sp,Psyllidae sp 1,Psyllidae sp 2,Sarrothripinae sp,Scopariinae sp,Stomorhina lunata,Strictopterinae sp,Technomyrmex albipes,Tettigoniidae sp 1,Villa unifasciata,Zizeeria knysa
Lecithoceridae sp 1,0,1,0,2,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,1,0,2,1,2,0,0,1,0,3,1,3,0,1,0
Limonia (Dycranomia) sp,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Lygaeidae sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Macroglossum milvus,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,1,0
Mordellidae sp 1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0
Mordellidae sp 2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Mythimna sp,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Nacoleia sp 1,2,1,1,18,0,9,0,0,6,12,0,1,1,1,2,6,10,1,1,3,2,3,1,0,1,1,0,1,0,7,8,13,0,6,1,8,3,5,1,0,1,2,13,1,16,1,9,0
Nacoleia sp 2,0,0,0,6,0,4,0,0,2,4,0,0,0,1,0,3,4,0,0,0,1,1,1,0,0,1,0,0,7,0,3,6,0,2,0,3,1,3,0,0,0,0,6,0,5,1,4,0
Ornidia obesa,1,1,0,9,0,6,0,0,2,9,0,1,1,0,0,4,7,0,0,1,0,3,0,0,0,0,0,0,8,3,0,8,0,2,0,5,2,5,1,0,0,1,11,0,9,1,4,1
Pachycerina crinicornis,1,0,0,23,0,14,1,0,11,19,0,1,0,1,2,8,14,0,2,3,1,1,1,1,1,0,0,1,13,6,8,0,0,8,0,12,3,10,1,1,0,1,24,0,24,1,10,0
Paleorhiza sp 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Panara naso,1,0,1,9,0,4,0,0,4,5,0,0,0,0,0,3,5,0,0,2,1,1,0,0,2,1,0,0,6,2,2,8,0,0,1,4,0,4,0,0,0,1,8,0,10,0,8,0
Papillio manlius,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Paragus borbonicus,2,0,0,12,2,9,0,1,6,11,1,1,0,0,0,7,8,0,1,3,0,2,0,0,0,0,0,0,8,3,5,12,1,4,0,0,2,9,1,0,0,0,11,0,12,1,8,0
Phelsuma cepediana,0,1,0,9,0,3,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,3,1,2,3,1,0,0,2,0,1,0,0,0,0,5,0,7,1,2,0
Phorinia sp,0,0,0,8,0,9,0,0,6,10,0,0,0,0,0,6,10,0,0,2,0,2,0,0,0,0,0,0,5,3,5,10,0,4,0,9,1,0,0,0,0,0,10,0,9,1,6,1
Psyllidae sp 1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
Psyllidae sp 2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Sarrothripinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Scopariinae sp,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0
Stomorhina lunata,2,1,0,24,0,13,1,0,9,18,0,1,0,1,1,11,14,0,1,2,1,3,1,1,1,1,1,1,13,6,11,24,0,8,0,11,5,10,1,1,0,1,0,0,20,1,8,1
Strictopterinae sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Technomyrmex albipes,3,1,1,31,2,16,1,2,14,20,0,1,0,1,2,9,14,1,2,3,2,3,1,0,1,2,1,1,16,5,9,24,1,10,1,12,7,9,1,1,1,2,20,1,0,1,18,0
Tettigoniidae sp 1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0
Villa unifasciata,0,0,1,17,0,6,1,1,6,10,0,1,0,0,0,5,9,0,1,3,1,1,0,0,1,1,0,0,9,4,4,10,0,8,1,8,2,6,1,1,0,1,8,0,18,1,0,0
Zizeeria knysa,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
