,Allograpta nasuta,Allograpta sp 2,Atherigona sp,Cerambycidae sp 3,Cheloninae sp 1,Cheloninae sp 2,Chironomidae sp,Condica capensis,Cryptinae sp,Drosophila sp 1,Fannia pusio,Henotesia narcissus,Homoneura quadrivittata,Homoneura sp 1,Ischiodon aegyptius,Leptotes pirithous,Limnophora quaterna,Mauritiborium undulatus,Melanostoma annulipes,Miridae sp,Musca domestica,Nyctemera insulare,Orchisia costata,Pelecophora intemipta,Remigia frugalis,Sarcophaga arno,Scirtidae sp 1,Scirtidae sp 2,Scolia carniflex,Scolia oryctophaga,Stomoxys calcitrans,Stomoxys niger,Syritta nigrofemorata,Zaprionus vittiger,Zosterops mauritianus
Nyctemera insulare,2,1,0,1,1,0,0,0,0,1,2,2,1,1,1,1,1,0,2,0,2,0,1,1,0,1,0,1,1,1,2,2,1,0,1
Orchisia costata,2,0,0,0,0,1,0,0,1,0,2,2,1,0,0,1,0,0,2,1,2,1,0,1,0,1,1,1,0,0,2,2,1,0,0
Pelecophora intemipta,3,1,0,1,1,1,0,0,1,1,4,2,0,1,1,3,1,1,3,1,3,1,1,0,0,0,1,0,1,1,3,4,3,0,1
Remigia frugalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sarcophaga arno,3,0,1,0,0,0,1,0,0,0,3,2,1,0,4,1,0,0,4,1,5,1,1,0,0,0,0,1,0,0,3,4,2,0,1
Scirtidae sp 1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
Scirtidae sp 2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
Scolia carniflex,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1
Scolia oryctophaga,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
Stomoxys calcitrans,8,1,1,1,1,1,1,0,1,1,8,5,1,1,5,7,2,1,9,2,10,2,2,3,1,3,1,1,1,1,0,8,5,0,4
Stomoxys niger,7,1,1,1,1,1,1,0,1,1,8,5,1,1,5,6,2,2,9,3,9,2,2,4,0,4,1,1,1,1,8,0,6,0,3
Syritta nigrofemorata,8,1,0,1,1,1,0,0,1,1,4,2,0,1,5,6,2,1,6,3,8,1,1,3,0,2,1,0,1,1,5,6,0,0,2
Zaprionus vittiger,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zosterops mauritianus,5,1,1,1,1,0,1,0,0,1,4,3,0,1,4,2,2,1,3,1,5,1,0,1,0,1,0,0,1,1,4,3,2,0,0
